"","Year","Var","Site","DOYemMean","MaxEmRate_obs","FirstEm_obs","code","Steepness","MaxEmRate","MedianEm","em90","em95","FirstEm","DOYem","Latency"
"33","2021","Caplaou","Godet",27,1,13,"Godet_2021_Caplaou",4.19956970208758,1,25.0614756672304,38.0934898537721,49.4864743348381,5.79887224587204,25.0614756672304,5.79887224587204
"34","2021","Caplaou","Roujol",49,0.823529411764706,29,"Roujol_2021_Caplaou",4.05801509772075,0.863050402540143,50.1544177274705,79.3393020908788,103.371094362551,22.8855546780346,50.1544177274705,22.8855546780346
"35","2021","Cinq","Godet",26,1,17,"Godet_2021_Cinq",7.98290387528411,1,26.0674517882219,19.6685906288068,24.7748048181657,1.64290046306814,26.0674517882219,1.64290046306814
"36","2021","Cinq","Roujol",28,0.96875,14,"Roujol_2021_Cinq",4.33093826884698,1,27.076881721367,39.7195559365803,51.4708875432819,6.07438830989685,27.076881721367,6.07438830989685
"37","2021","Cirabel","Roujol",20,1,11,"Roujol_2021_Cirabel",5.2400813761219,1,18.0198220827324,21.3335532301875,27.3002901917267,2.99423475473991,18.0198220827324,2.99423475473991
"38","2021","Divin","Godet",20.5,1,13,"Godet_2021_Divin",9.97046415082536,1,20.5317284473217,12.3037366535487,15.4302374351655,0.719424523417851,20.5317284473217,0.719424523417851
"39","2021","Divin","Roujol",24.5,1,14,"Roujol_2021_Divin",4.22717510975669,1,21.3278554738331,32.1734078610641,41.7732472749962,5.86926109825201,21.3278554738331,5.86926109825201
"40","2021","Dou","Roujol",27,0.8125,11,"Roujol_2021_Dou",3.32275206317453,1,26.4248989111502,53.206994573533,70.8154214313493,25.8984686905262,26.4248989111502,11
"41","2021","Fenakue","Godet",13,1,7,NA,NA,NA,NA,NA,NA,NA,13,7
"42","2021","Florido","Godet",17,1,8,"Godet_2021_Florido",4.04367534634695,1,14.8661691020663,23.6144210957327,30.7768604596531,3.96400778541675,14.8661691020663,3.96400778541675
